;Website;Source;domain
0;https://hollywoodgazette.com/;CBS;hollywoodgazette.com
5;https://www.christiantimes.com/;CBS;christiantimes.com
9;https://www.theonion.com/;CBS;theonion.com
11;https://nationalreport.net/;CBS;nationalreport.net
12;https://americasfreedomfighters.com/contact-us/;FactChecker.org;americasfreedomfighters.com
13;https://americaslastlineofdefense.org;FactChecker.org;americaslastlineofdefense.org
14;https://awakenation.tv/;FactChecker.org;awakenation.tv
15;http://affordablewebhosting.com;FactChecker.org;affordablewebhosting.com
16;https://blingnews.com/;FactChecker.org;blingnews.com
17;https://channel23news.com/;FactChecker.org;channel23news.com
18;http://conservativeangle.com/;FactChecker.org;conservativeangle.com
19;http://theconservativetreehouse.com/;FactChecker.org;theconservativetreehouse.com
20;https://daily-vine.com/;FactChecker.org;daily-vine.com
21;https://empirenews.net/;FactChecker.org;empirenews.net
22;https://en-volve.com/;FactChecker.org;en-volve.com
23;https://gellerreport.com/;FactChecker.org;gellerreport.com
25;http://londonwebnews.com/;FactChecker.org;londonwebnews.com
27;https://thepeoplesvoice.tv/;FactChecker.org;thepeoplesvoice.tv
28;http://www.politicops.com/;FactChecker.org;politicops.com
29;https://www.puppetstringnews.com/;FactChecker.org;puppetstringnews.com
30;https://realnewsrightnow.com/;FactChecker.org;realnewsrightnow.com
31;http://rightwingtribune.com/;FactChecker.org;rightwingtribune.com
32;https://rwnofficial.com/;FactChecker.org;rwnofficial.com
33;https://therightists.com/;FactChecker.org;therightists.com
34;http://stuppid.com/;FactChecker.org;stuppid.com
35;https://www.teddystick.com/;FactChecker.org;teddystick.com
36;http://topalertnews.com/;FactChecker.org;topalertnews.com
37;https://truthfeednews.com/;FactChecker.org;truthfeednews.com
38;https://ussanews.com/;FactChecker.org;ussanews.com
39;https://weeklyworldnews.com/;Snopes;weeklyworldnews.com
40;https://huzlers.com/;Snopes;huzlers.com
42;https://realorsatire.com/nahadaily-com/;Snopes;realorsatire.com
43;https://vindoga.wixsite.com/thestatelyharold/about;Snopes;vindoga.wixsite.com
44;https://www.buzzfeed.com/daily;Snopes;buzzfeed.com
47;https://sierrafoothillsreport.com;Snopes;sierrafoothillsreport.com
48;https://www.react365.com/;Snopes;react365.com
49;https://www.burrardstreetjournal.com/;Snopes;burrardstreetjournal.com
50;https://thelastlineofdefense.org/;Snopes;thelastlineofdefense.org
51;https://archive.is/WLWnY;Snopes;archive.is
52;https://www.breakingnews365.net/;Snopes;breakingnews365.net
53;https://www.breakingnews247.net/;Snopes;breakingnews247.net
54;https://english.alarabiya.net/;Wikipedia;alarabiya.net
56;https://bients.com/;Wikipedia;bients.com
57;https://bva.org/media/news/;Wikipedia;bva.org
58;https://conservatism101.org/;Wikipedia;conservatism101.org
59;http://dailybuzzlive.com/;Wikipedia;dailybuzzlive.com
60;https://denvergazette.com;Wikipedia;denvergazette.com
61;https://www.disclose.tv/;Wikipedia;disclose.tv
63;https://globalassociatednews.com/;Wikipedia;globalassociatednews.com
66;https://www.kmvt.com/;Wikipedia;kmvt.com
67;https://en.mediamass.net/;Wikipedia;mediamass.net
69;https://neonnettle.com/;Wikipedia;neonnettle.com
70;https://www.newsbreak.com;Wikipedia;newsbreak.com
71;https://www.thenewsnerd.com/;Wikipedia;thenewsnerd.com
72;https://newswatch33.com/;Wikipedia;newswatch33.com
73;http://now8news.com/;Wikipedia;now8news.com
74;https://prntly.com;Wikipedia;prntly.com
75;https://www.reporterz.com/;Wikipedia;reporterz.com
76;https://www.superstation95.com/;Wikipedia;superstation95.com
77;http://unitedmediapublishing.com/;Wikipedia;unitedmediapublishing.com
78;https://worldtruth.tv/;Wikipedia;worldtruth.tv
79;https://akoy-pilipino.blogspot.com/;Wikipedia;akoy-pilipino.blogspot.com
80;https://www.thedailysentry.net/;Wikipedia;thedailysentry.net
81;https://balita.definitelyfilipino.com/;Wikipedia;definitelyfilipino.com
82;https://du30newsblog.blogspot.com/;Wikipedia;du30newsblog.blogspot.com
83;https://dutertetrendingnews.blogspot.com/;Wikipedia;dutertetrendingnews.blogspot.com
84;http://dutertedefender.com/;Wikipedia;dutertedefender.com
85;https://grpshorts.blogspot.com/;Wikipedia;grpshorts.blogspot.com
86;https://hotnewsphil.blogspot.com/;Wikipedia;hotnewsphil.blogspot.com
87;https://www.maharlikanews.com/;Wikipedia;maharlikanews.com
88;https://philnewscourier.blogspot.com/;Wikipedia;philnewscourier.blogspot.com
89;https://pinoytrending.altervista.org/;Wikipedia;pinoytrending.altervista.org
90;https://pinoytrendingnewsph.blogspot.com/;Wikipedia;pinoytrendingnewsph.blogspot.com
91;https://qwazk.blogspot.com/;Wikipedia;qwazk.blogspot.com
92;https://www.tahonews.com/;Wikipedia;tahonews.com
93;https://www.update.ph/;Wikipedia;update.ph
94;https://verifiedph.blogspot.com/;Wikipedia;verifiedph.blogspot.com
95;https://www.xolxol.ph/;Wikipedia;xolxol.ph
96;https://terrabrasilnoticias.com/;DB_Brazil;terrabrasilnoticias.com
97;https://tribunanacional.com.br/;DB_Brazil;tribunanacional.com.br
98;https://www.stylourbano.com.br/;DB_Brazil;stylourbano.com.br
100;https://brasilsemmedo.com/;DB_Brazil;brasilsemmedo.com
101;https://www.r7.com/;DB_Brazil;r7.com
102;https://www.esmaelmorais.com.br/;DB_Brazil;esmaelmorais.com.br
103;https://www.plural.jor.br/;DB_Brazil;plural.jor.br
104;https://www.coletividade-evolutiva.com.br/;DB_Brazil;coletividade-evolutiva.com.br
105;https://www.ebc.com.br/;DB_Brazil;ebc.com.br
106;https://www.estudosnacionais.com/;DB_Brazil;estudosnacionais.com
107;https://diariodopoder.com.br/;DB_Brazil;diariodopoder.com.br
108;https://americasfrontlinedoctors.org/;DB_Brazil;americasfrontlinedoctors.org
109;https://ndmais.com.br/;DB_Brazil;ndmais.com.br
110;https://noticiarelevante.com/;DB_Brazil;noticiarelevante.com
111;https://www.agoraparana.com.br/;DB_Brazil;agoraparana.com.br
112;https://www.aliadosbrasiloficial.com.br/;DB_Brazil;aliadosbrasiloficial.com.br
113;https://forum.politz.com.br/;DB_Brazil;politz.com.br
114;https://plantaobrasil.net/;DB_Brazil;plantaobrasil.net
115;https://odocumento.com.br/;DB_Brazil;odocumento.com.br
116;https://www.otempo.com.br/;DB_Brazil;otempo.com.br
117;https://pleno.news/;DB_Brazil;pleno.news
118;https://oantagonista.uol.com.br/;DB_Brazil;oantagonista.com
119;http://www.noticiasdebrasilia.com/;DB_Brazil;noticiasdebrasilia.com
120;https://www.pensandodireita.com/;DB_Brazil;pensandodireita.com
121;https://rothbardbrasil.com/;DB_Brazil;rothbardbrasil.com
122;https://portalbocanotrombone.com.br/;DB_Brazil;portalbocanotrombone.com.br
123;https://www.portalholofote.com/;DB_Brazil;portalholofote.com
125;https://cultura.uol.com.br;DB_Brazil;tvcultura.com.br
126;https://www.tse.jus.br/#/;DB_Brazil;tse.jus.br
127;https://tierrapura.org;DB_Brazil;tierrapura.org
130;http://www.sjnoticiasma.blogspot.com;DB_Brazil;sjnoticiasma.blogspot.com
131;https://sensoincomum.org;DB_Brazil;sensoincomum.org
132;https://www12.senado.leg.br/hpsenado;DB_Brazil;senado.leg.br
133;https://scc10.com.br;DB_Brazil;scc10.com.br
134;https://www.rsagora.com.br;DB_Brazil;rsagora.com.br
135;https://www.metropoles.com;DB_Brazil;metropoles.com
136;https://republicadecuritiba.net;DB_Brazil;republicadecuritiba.net
137;https://www.receitasnaturais.com.br;DB_Brazil;receitasnaturais.com.br
138;http://portalindependente.com;DB_Brazil;portalindependente.com
139;https://www.clicrbs.com.br;DB_Brazil;clicrbs.com.br
141;http://cbnjoaopessoa.com.br;DB_Brazil;cbnjoaopessoa.com.br
142;http://cartacapital.com.br;DB_Brazil;cartacapital.com.br
143;https://brownstone.org;DB_Brazil;brownstone.org
144;https://brasilacontece.net.br;DB_Brazil;brasilacontece.net.br
145;http://brasil61.com;DB_Brazil;brasil61.com
147;https://bandnewsfmcuritiba.com;DB_Brazil;bandnewsfmcuritiba.com
148;https://atrombetanews.com.br;DB_Brazil;atrombetanews.com.br
149;http://aecioneves.com.br;DB_Brazil;aecioneves.com.br
150;https://aconteceagora.com.br;DB_Brazil;aconteceagora.com.br
151;https://www.assine.abril.com.br/novoassine/home.html?redirect=abrilcom;DB_Brazil;abril.com.br
152;https://cidadeverde.com;DB_Brazil;cidadeverde.com
153;https://conexaoamazonas.com;DB_Brazil;conexaoamazonas.com
155;https://www.conexaopolitica.com.br;DB_Brazil;conexaopolitica.com.br
156;https://luiscardoso.com.br;DB_Brazil;luiscardoso.com.br
157;https://karinamichelin.com;DB_Brazil;karinamichelin.com
158;https://horabrasilia.com.br;DB_Brazil;horabrasilia.com.br
159;https://healthimpactnews.com;DB_Brazil;healthimpactnews.com
160;http://gospelprime.com.br;DB_Brazil;gospelprime.com.br
161;https://www.gazetadopovo.com.br;DB_Brazil;gazetadopovo.com.br
162;https://www.em.com.br;DB_Brazil;em.com.br
163;http://dilma.com.br;DB_Brazil;dilma.com.br
164;https://www.defesanet.com.br;DB_Brazil;defesanet.com.br
165;http://cutonews.com;DB_Brazil;cutonews.com
166;https://www.curapelanatureza.com.br;DB_Brazil;curapelanatureza.com.br
167;https://www.cruzeirofm.com.br;DB_Brazil;cruzeirofm.com.br
168;https://www.contrafatos.com.br;DB_Brazil;contrafatos.com.br
169;http://www.ioerj.com.br/portal/;DB_Brazil;ioerj.com.br
170;https://news-front.info;Global_DB;news-front.info
173;http://ria.ru;Global_DB;ria.ru
175;https://oroszhirek.hu;Global_DB;oroszhirek.hu
176;http://ukraina.ru;Global_DB;ukraina.ru
181;https://tvzvezda.ru;Global_DB;tvzvezda.ru
182;http://geworld.ge/ge/;Global_DB;geworld.ge
183;https://www.c-span.org;Global_DB;c-span.org
184;https://southfront.org;Global_DB;southfront.org
185;https://www.rubaltic.ru;Global_DB;rubaltic.ru
186;https://tass.ru;Global_DB;tass.ru
188;https://www.thegatewaypundit.com;Global_DB;thegatewaypundit.com
189;https://factba.se;Global_DB;factba.se
191;https://realrawnews.com;Global_DB;realrawnews.com
192;https://www.politnavigator.net;Global_DB;politnavigator.net
193;https://asd.news;Global_DB;asd.news
194;https://tass.com;Global_DB;tass.com
195;https://rumble.com;Global_DB;rumble.com
196;https://www.parlamentnilisty.cz;Global_DB;parlamentnilisty.cz
197;https://www.ac24.cz;Global_DB;ac24.cz
199;https://regnum.ru;Global_DB;regnum.ru
200;https://www.kp.ru;Global_DB;kp.ru
201;https://livenews.am/press/;Global_DB;livenews.am
203;https://www.novarepublika.online;Global_DB;novarepublika.cz
205;https://eadaily.com/ru/;Global_DB;eadaily.com
206;https://rusvesna.su;Global_DB;rusvesna.su
207;https://vz.ru;Global_DB;vz.ru
208;https://nwoo.org;Global_DB;nwoo.org
209;https://baltnews.com;Global_DB;baltnews.lt
210;https://teleskop-by.org;Global_DB;teleskop-by.org
211;https://www.5-tv.ru;Global_DB;5-tv.ru
215;https://www.ntv.ru;Global_DB;ntv.ru
216;http://lenta.ru;Global_DB;lenta.ru
