,domain,num_iframes,has_social_media,num_images,has_og_tag,has_twitter_tag,has_description,has_keywords,keywords_in_tag,description_in_tag,contains digit,contains hyphen,length,novelty tld,contains news,newsy domain,has domain ip,domain asn,domain geoloc,domain validated,has expired,self signed,cert lifetime,san length,issuer country,issuer org,san contains wildcard,has cert,creation elapsed time,time to expiration,time from updated,whois lifetime,domain proxy,registrar,registrant country,registrant org,nameserver sld,nameserver asn,nameserver geoloc,target
0,horabrasilia.com.br,0,,,True,True,True,False,,"['Hora Brasília | Acompanhe as Principais Notícias do Brasil e do Mundo. Política, Polícia, Acidentes, Economia, Educação, Saúde e Muito Mais.']",False,False,19,True,False,False,True,13335,US,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,-409.0,1870.0,-1537.0,1461.0,N/A,,,,,,,disinformation
1,stuppid.com,4,False,12,True,True,True,False,,['Mind-blowing News Stories And Interviews'],False,False,11,False,False,False,True,398101,US,True,False,False,397.0,1.0,US,"Starfield Technologies, Inc.",True,True,2451.0,1932.0,-1567.0,4383.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",domaincontrol.com,44273,US,disinformation
2,kan.org.il,7,True,169,,,,,,,False,False,10,True,False,False,True,13335,US,False,False,False,364.0,2.0,US,"Cloudflare, Inc.",True,True,,1956.0,,,N/A,LiveDNS Ltd,,,cloudflare.com,13335,US,disinformation
3,naver.com,7,False,64,True,True,True,False,,['네이버 메인에서 다양한 정보와 유용한 컨텐츠를 만나 보세요'],False,False,9,False,False,False,True,23576,KR,False,False,False,381.0,6.0,US,DigiCert Inc,False,True,7845.0,4938.0,-1576.0,12783.0,False,"Gabia, Inc.",,,naver.com,23576,KR,disinformation
4,businessinsider.com,3,True,141,True,False,True,False,,"['Insider tells the global tech, finance, markets, media, healthcare, and strategy stories you want to know.']",False,False,19,False,False,True,True,54113,US,True,False,False,397.0,1.0,BE,GlobalSign nv-sa,False,True,7670.0,1647.0,-1282.0,9317.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",nsone.net,62597,US,disinformation
5,maharlikanews.com,16,True,78,True,False,True,False,,['Canada Leading Online Filipino Newspaper Portal - Balita Toronto'],False,False,17,False,True,False,True,14061,CA,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,1119.0,1803.0,-1439.0,2922.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",domaincontrol.com,44273,US,disinformation
6,intouchweekly.com,3,True,72,True,True,True,False,,['Your ultimate source for breaking celebrity news — get the latest on your favorite stars and the glamorous lives they lead!'],False,False,17,False,False,True,True,2635,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,6078.0,1958.0,-1317.0,8036.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",awsdns-35.org,16509,US,disinformation
7,huffingtonpost.it,2,True,124,True,True,True,True,['HuffPost'],"[""Le notizie più importanti, le opinioni più diverse, i titoli più audaci su L'HuffPost diretto da Mattia Feltri""]",False,False,17,False,False,True,True,16509,IE,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,2876.0,1717.0,-1368.0,4593.0,N/A,Gandi SAS,,,n.,,,disinformation
8,brasilsemmedo.com,0,True,36,False,False,,False,,,False,False,17,False,False,False,True,13335,None,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,-264.0,3186.0,-1365.0,2922.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",cloudflare.com,13335,US,disinformation
9,huzlers.com,0,False,7,False,False,True,True,"['Huzlers, huzlers, flyheight, fly height']",['Huzlers is a leading online video website that brings you the latest and most entertaining viral contents from America and around the world.'],False,False,11,False,False,False,True,27589,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,1896.0,1756.0,-1437.0,3652.0,True,NAMECHEAP INC,IS,Privacy service provided by Withheld for Privacy ehf,mojohost.com,27589,US,disinformation
