,domain,num_iframes,has_social_media,num_images,has_og_tag,has_twitter_tag,has_description,has_keywords,keywords_in_tag,description_in_tag,contains digit,contains hyphen,length,novelty tld,contains news,newsy domain,has domain ip,domain asn,domain geoloc,domain validated,has expired,self signed,cert lifetime,san length,issuer country,issuer org,san contains wildcard,has cert,creation elapsed time,time to expiration,time from updated,whois lifetime,domain proxy,registrar,registrant country,registrant org,nameserver sld,nameserver asn,nameserver geoloc
0,rutan.dev,4,True,1,True,True,True,False,,['RPGツクールMVやRPGツクールMZのプラグインを公開しています'],False,False,9,True,False,False,True,16509,US,True,False,False,394.0,4.0,US,Amazon,True,True,6.0,1820.0,-1500.0,1826.0,True,Google LLC,CA,Contact Privacy Inc. Customer 7151571251,awsdns-59.org,16509,US
1,timescall.com,0,,,True,True,True,False,,"['Longmont, Colorado breaking news, sports, business, entertainment, real estate, jobs and classifieds']",False,False,13,False,False,True,True,2635,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,6769.0,1914.0,-1548.0,8683.0,True,Google LLC,CA,Contact Privacy Inc. Customer 7151571251,dnsmadeeasy.com,16552,US
2,magizoo.ru,4,,258,False,False,,False,,,False,False,10,False,False,True,True,50340,RU,True,False,False,397.0,1.0,BE,GlobalSign nv-sa,False,True,2083.0,1935.0,,4018.0,False,RU-CENTER-RU,,,selectel.org,49505,RU
3,movieleatherjackets.com,6,True,49,True,True,True,False,,"['Buy online our inspiring Collection of Hollywood Movie Jackets, Vest & Coats in genuine leather. Avail amazing discount with FREE shipping worldwide.']",False,False,23,False,False,False,True,15169,GB,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,239.0,1953.0,-1559.0,2192.0,True,NAMECHEAP INC,IS,Privacy service provided by Withheld for Privacy ehf,siteground.net,16509,US
4,southeastservers.com,0,False,16,False,False,True,True,['Southeast Servers'],['Southeast Servers'],False,False,20,False,False,False,True,53850,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,3624.0,1855.0,-1521.0,5479.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",southeastservers.com,53850,US
5,avito.ru,4,False,53,True,False,True,False,,"['На\xa0Авито вы\xa0можете недорого купить или выгодно продать авто с\xa0пробегом или новую машину, квартиру и\xa0другую недвижимость, а\xa0также новую или б/у одежду, мебель']",False,False,8,False,False,False,True,201012,RU,False,False,False,397.0,1.0,BE,GlobalSign nv-sa,True,True,4290.0,1920.0,,6210.0,False,RU-CENTER-RU,,Avito AB,edgedns.ru,210756,NL
6,newjerseycriminallawattorney.com,3,True,62,,,,,,,False,False,32,False,False,False,True,14618,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,4352.0,2953.0,-1278.0,7305.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",lawyerdns.com,16552,US
7,steelguitarforum.com,0,False,1,False,False,,False,,,False,False,20,False,False,False,True,14061,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,6647.0,1753.0,-1358.0,8400.0,False,"Register.com, Inc.",,,register.com,13335,None
8,gychevyplattsmouth.com,1,False,1,,,,,,,False,False,22,False,False,False,True,14618,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,358.0,3295.0,-1314.0,3653.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",domaincontrol.com,44273,US
9,wavlist.com,0,False,10,True,True,,False,,,False,False,11,False,False,False,True,34788,DE,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,7268.0,1864.0,-1499.0,9132.0,True,RegistryGate GmbH,DE,REDACTED FOR PRIVACY,ns5.kasserver.com,34788,DE
